itemId	category	name	iconId	imagePath
1062	Goods	Flask of Cerulean Tears +6	19	
1063	Goods	Flask of Cerulean Tears +6	20	
1064	Goods	Flask of Cerulean Tears +7	19	
1065	Goods	Flask of Cerulean Tears +7	20	
1066	Goods	Flask of Cerulean Tears +8	19	
1067	Goods	Flask of Cerulean Tears +8	20	
1068	Goods	Flask of Cerulean Tears +9	19	
1069	Goods	Flask of Cerulean Tears +9	20	
1070	Accessories	Prosthesis-Wearer Heirloom	18080	
1071	Goods	Flask of Cerulean Tears +10	20	
1072	Goods	Flask of Cerulean Tears +11	19	
1073	Goods	Flask of Cerulean Tears +11	20	
1074	Goods	Flask of Cerulean Tears +12	19	
1075	Goods	Flask of Cerulean Tears +12	20	
1080	Accessories	Stargazer Heirloom	18090	
1090	Accessories	Two Fingers Heirloom	18100	
1100	Accessories	Silver Scarab	18110	
1110	Accessories	Gold Scarab	18120	
1120	Goods	Invigorating Cured Meat	53	
1130	Goods	Clarifying Cured Meat	54	
1140	Accessories	Moon of Nokstella	18150	
1150	Accessories	Green Turtle Talisman	18160	
1160	Accessories	Stalwart Horn Charm	18170	
1161	Accessories	Stalwart Horn Charm +1	18171	
1170	Accessories	Immunizing Horn Charm	18180	
1171	Accessories	Immunizing Horn Charm +1	18181	
1180	Accessories	Clarifying Horn Charm	18190	
1181	Accessories	Clarifying Horn Charm +1	18191	
1190	Accessories	Prince of Death's Pustule	3220	
1191	Accessories	Prince of Death's Cyst	18201	
1200	Accessories	Mottled Necklace	18210	
1201	Accessories	Mottled Necklace +1	18211	
1210	Accessories	Bull-Goat's Talisman	18220	
1220	Accessories	Marika's Scarseal	18060	
1221	Accessories	Marika's Soreseal	18061	
1230	Accessories	Warrior Jar Shard	18870	
1231	Accessories	Shard of Alexander	18871	
1235	Goods	Raw Meat Dumpling	564	
1240	Goods	Shabriri Grape	3052	
1250	Accessories	Millicent's Prosthesis	18890	
1290	Goods	Starlight Shards	3282	
1300	Armor	Type 4		
1310	Goods	Immunizing White Cured Meat	568	
1320	Goods	Invigorating White Cured Meat	569	
1330	Goods	Clarifying White Cured Meat	570	
1340	Goods	Dappled White Cured Meat	571	
1350	Goods	Deathsbane White Jerky	0	
1400	Goods	Fire Grease	64	
1410	Goods	Lightning Grease	65	
1420	Goods	Magic Grease	66	
1430	Goods	Holy Grease	605	
1440	Goods	Blood Grease	68	
1450	Goods	Soporific Grease	69	
1460	Goods	Poison Grease	70	
1470	Goods	Freezing Grease	71	
1480	Goods	Dragonwound Grease	621	
1490	Goods	Rot Grease	612	
1500	Goods	Drawstring Fire Grease	72	
1510	Goods	Drawstring Lightning Grease	73	
1520	Goods	Drawstring Magic Grease	74	
1530	Goods	Drawstring Holy Grease	614	
1540	Goods	Drawstring Blood Grease	76	
1550	Goods	Drawstring Soporific Grease	77	
1560	Goods	Drawstring Poison Grease	78	
1570	Goods	Drawstring Freezing Grease	79	
1590	Goods	Drawstring Rot Grease	613	
1600	Armor	Type 7		
1690	Goods	Shield Grease	590	
1700	Goods	Throwing Dagger	80	
1710	Goods	Bone Dart	82	
1720	Goods	Poisonbone Dart	83	
1730	Goods	Kukri	84	
1740	Goods	Crystal Dart	85	
1750	Goods	Fan Daggers	622	
1760	Goods	Ruin Fragment	523	
1800	Armor	Type 9		
1830	Goods	Explosive Stone	702	
1831	Goods	Explosive Stone Clump	703	
1840	Goods	Poisoned Stone	704	
1841	Goods	Poisoned Stone Clump	705	
1900	Armor	Type 10		
2000	Accessories	Magic Scorpion Charm	18230	
2010	Accessories	Lightning Scorpion Charm	18240	
2020	Accessories	Fire Scorpion Charm	18250	
2030	Accessories	Sacred Scorpion Charm	18260	
2040	Accessories	Red-Feathered Branchsword	18270	
2050	Accessories	Ritual Sword Talisman	18280	
2060	Accessories	Spear Talisman	18290	
2070	Accessories	Hammer Talisman	18300	
2080	Accessories	Winged Sword Insignia	18310	
2081	Accessories	Rotten Winged Sword Insignia	18311	
2090	Accessories	Dagger Talisman	18320	
2100	Accessories	Arrow's Reach Talisman	18330	
2110	Accessories	Blue Dancer Charm	18350	
2120	Accessories	Twinblade Talisman	18360	
2130	Accessories	Axe Talisman	18370	
2140	Accessories	Lance Talisman	18380	
2150	Accessories	Arrow's Sting Talisman	18340	
2160	Accessories	Lord of Blood's Exultation	18390	
2170	Accessories	Kindred of Rot's Exultation	18400	
2180	Accessories	Claw Talisman	18800	
2190	Accessories	Roar Medallion	18810	
2200	Accessories	Curved Sword Talisman	18820	
2201	Goods	Prattling Pate "Thank you"	96	
2202	Goods	Prattling Pate "Apologies"	97	
2203	Goods	Prattling Pate "Wonderful"	98	
2204	Goods	Prattling Pate "Please help"	99	
2205	Goods	Prattling Pate "My beloved"	100	
2206	Goods	Prattling Pate "Let's get to it"	101	
2207	Goods	Prattling Pate "You're beautiful"	631	
2210	Accessories	Companion Jar	18830	
2220	Accessories	Perfumer's Talisman	18840	
2300	Armor	Type 14		
2400	Armor	Type 15		
2500	Armor	Type 16		
2600	Armor	Type 17		
2700	Armor	Type 18		
2800	Armor	Type 19		
2900	Goods	Golden Rune [1]	143	
2901	Goods	Golden Rune [2]	144	
2902	Goods	Golden Rune [3]	145	
2903	Goods	Golden Rune [4]	146	
2904	Goods	Golden Rune [5]	147	
2905	Goods	Golden Rune [6]	148	
2906	Goods	Golden Rune [7]	149	
2907	Goods	Golden Rune [8]	150	
2908	Goods	Golden Rune [9]	151	
2909	Goods	Golden Rune [10]	152	
2910	Goods	Golden Rune [11]	153	
2911	Goods	Golden Rune [12]	154	
2912	Goods	Golden Rune [13]	155	
2913	Goods	Numen's Rune	156	
2914	Goods	Hero's Rune [1]	157	
2915	Goods	Hero's Rune [2]	158	
2916	Goods	Hero's Rune [3]	159	
2917	Goods	Hero's Rune [4]	160	
2918	Goods	Hero's Rune [5]	161	
2919	Goods	Lord's Rune	162	
2950	Goods	Remembrance of the Grafted	163	
2951	Goods	Remembrance of the Starscourge	164	
2952	Goods	Remembrance of the Omen King	165	
2953	Goods	Remembrance of the Blasphemous	166	
2954	Goods	Remembrance of the Rot Goddess	167	
2955	Goods	Remembrance of the Blood Lord	168	
2956	Goods	Remembrance of the Black Blade	169	
2957	Goods	Remembrance of Hoarah Loux	170	
2958	Goods	Remembrance of the Dragonlord	171	
2959	Goods	Remembrance of the Full Moon Queen	172	
2960	Goods	Remembrance of the Lichdragon	173	
2961	Goods	Remembrance of the Fire Giant	174	
2962	Goods	Remembrance of the Regal Ancestor	175	
2963	Goods	Elden Remembrance	176	
2964	Goods	Remembrance of the Naturalborn	177	
2990	Goods	Lands Between Rune	150	
3000	Accessories	Graven-School Talisman	18410	
3001	Accessories	Graven-Mass Talisman	18411	
3010	Goods	Omen Bairn	593	
3011	Goods	Regal Omen Bairn	677	
3020	Goods	Miranda's Prayer	594	
3030	Goods	Cuckoo Glintstone	599	
3040	Accessories	Faithful's Canvas Talisman	18440	
3050	Accessories	Flock's Canvas Talisman	18450	
3051	Goods	Large Glintstone Scrap	706	
3060	Accessories	Old Lord's Talisman	18460	
3070	Accessories	Radagon Icon	18470	
3080	Accessories	Primal Glintstone Blade	18480	
3090	Accessories	Godfrey Icon	18860	
3100	Armor	Type 2		
3200	Armor	Type 3		
3300	Goods	Holy Water Grease	0	
3310	Goods	Warming Stone	210	
3311	Goods	Frenzyflame Stone	562	
3320	Goods	Scriptstone	211	
3350	Goods	Bewitching Branch	623	
3360	Goods	Baldachin's Blessing	449	
3361	Goods	Radiant Baldachin's Blessing	3276	
3400	Armor	Type 5		
3500	Goods	Uplifting Aromatic	226	
3510	Goods	Spark Aromatic	216	
3520	Goods	Ironjar Aromatic	587	
3550	Goods	Bloodboil Aromatic	225	
3580	Goods	Poison Spraymist	221	
3600	Armor	Type 7		
3610	Goods	Acid Spraymist	224	
3700	Armor	Type 8		
3800	Armor	Type 9		
3900	Armor	Type 10		
4000	Accessories	Dragoncrest Shield Talisman	18490	
4001	Accessories	Dragoncrest Shield Talisman +1	18491	
4002	Accessories	Dragoncrest Shield Talisman +2	18492	
4003	Accessories	Dragoncrest Greatshield Talisman	18493	
4010	Accessories	Spelldrake Talisman	18500	
4011	Accessories	Spelldrake Talisman +1	18501	
4012	Accessories	Spelldrake Talisman +2	18502	
4020	Accessories	Flamedrake Talisman	18510	
4021	Accessories	Flamedrake Talisman +1	18511	
4022	Accessories	Flamedrake Talisman +2	18512	
4030	Accessories	Boltdrake Talisman	18520	
4031	Accessories	Boltdrake Talisman +1	18521	
4032	Accessories	Boltdrake Talisman +2	18522	
4040	Accessories	Haligdrake Talisman	18530	
4041	Accessories	Haligdrake Talisman +1	18531	
4042	Accessories	Haligdrake Talisman +2	18532	
4050	Accessories	Pearldrake Talisman	18540	
4051	Accessories	Pearldrake Talisman +1	18541	
4052	Accessories	Pearldrake Talisman +2	18542	
4060	Accessories	Crucible Scale Talisman	18550	
4070	Accessories	Crucible Feather Talisman	18560	
4080	Accessories	Blue-Feathered Branchsword	18570	
4090	Accessories	Ritual Shield Talisman	18580	
4100	Accessories	Greatshield Talisman	18590	
4110	Accessories	Crucible Knot Talisman	18600	
4120	Goods	[Sorcery] Gavel of Haima	6020	
4130	Goods	[Sorcery] Terra Magicus	6103	
4140	Goods	[Sorcery] Starlight	6102	
4200	Goods	[Sorcery] Comet Azur	6012	
4210	Goods	[Sorcery] Founding Rain of Stars	6021	
4220	Goods	[Sorcery] Stars of Ruin	6022	
4300	Goods	[Sorcery] Glintblade Phalanx	6005	
4301	Goods	[Sorcery] Carian Phalanx	6023	
4302	Goods	[Sorcery] Greatblade Phalanx	6024	
4360	Goods	[Sorcery] Rennala's Full Moon	6007	
4361	Goods	[Sorcery] Ranni's Dark Moon	6025	
4370	Goods	[Sorcery] Magic Downpour	6011	
4380	Goods	[Sorcery] Loretta's Greatbow	6013	
4381	Goods	[Sorcery] Loretta's Mastery	6026	
4390	Goods	[Sorcery] Magic Glintblade	6027	
4400	Goods	[Sorcery] Glintstone Icecrag	6028	
4410	Goods	[Sorcery] Zamor Ice Storm	6029	
4420	Goods	[Sorcery] Freezing Mist	6030	
4430	Goods	[Sorcery] Carian Greatsword	6050	
4431	Goods	[Sorcery] Adula's Moonblade	6031	
4440	Goods	[Sorcery] Carian Slicer	6051	
4450	Goods	[Sorcery] Carian Piercer	6052	
4460	Goods	[Sorcery] Scholar's Armament	6100	
4470	Goods	[Sorcery] Scholar's Shield	6101	
4480	Goods	[Sorcery] Lucidity	6032	
4490	Goods	[Sorcery] Frozen Armament	6507	
4500	Goods	[Sorcery] Shattering Crystal	6033	
4510	Goods	[Sorcery] Crystal Release	6034	
4520	Goods	[Sorcery] Crystal Torrent	6035	
4600	Goods	[Sorcery] Ambush Shard	6036	
4610	Goods	[Sorcery] Night Shard	6037	
4620	Goods	[Sorcery] Night Comet	6038	
4630	Goods	[Sorcery] Thops's Barrier	6039	
4640	Goods	[Sorcery] Carian Retaliation	6040	
4650	Goods	[Sorcery] Eternal Darkness	6041	
4660	Goods	[Sorcery] Unseen Blade	6702	
4670	Goods	[Sorcery] Unseen Form	6704	
4700	Goods	[Sorcery] Meteorite	6070	
4701	Goods	[Sorcery] Meteorite of Astel	6042	
4710	Goods	[Sorcery] Rock Sling	6071	
4720	Goods	[Sorcery] Gravity Well	6043	
4721	Goods	[Sorcery] Collapsing Stars	6044	
4800	Goods	[Sorcery] Magma Shot	6205	
4810	Goods	[Sorcery] Gelmir's Fury	6212	
4820	Goods	[Sorcery] Roiling Magma	6213	
4830	Goods	[Sorcery] Rykard's Rancor	6045	
4900	Goods	[Sorcery] Briars of Sin	6046	
4910	Goods	[Sorcery] Briars of Punishment	6047	
5000	Accessories	Crimson Seed Talisman	18610	
5001	Goods	[Sorcery] Ancient Death Rancor	6049	
5010	Accessories	Cerulean Seed Talisman	18620	
5020	Accessories	Blessed Dew Talisman	18630	
5030	Accessories	Taker's Cameo	18640	
5040	Accessories	Godskin Swaddling Cloth	18650	
5050	Accessories	Assassin's Crimson Dagger	18660	
5060	Accessories	Assassin's Cerulean Dagger	18670	
5100	Goods	[Sorcery] Oracle Bubbles	6607	
5110	Goods	[Sorcery] Great Oracular Bubble	6608	
6000	Accessories	Crepus's Vial	18680	
6001	Goods	[Incantation] O, Flame!	6201	
6010	Accessories	Concealing Veil	18690	
6020	Accessories	Carian Filigreed Crest	18700	
6030	Goods	[Incantation] Whirl, O Flame!	6209	
6040	Accessories	Longtail Cat Talisman	18720	
6050	Accessories	Shabriri's Woe	18730	
6060	Accessories	Daedicar's Woe	18740	
6070	Accessories	Sacrificial Twig	18750	
6080	Accessories	Furled Finger's Trick-Mirror	18760	
6090	Accessories	Host's Trick-Mirror	18770	
6100	Accessories	Entwining Umbilical Cord	18780	
6110	Accessories	Ancestral Spirit's Horne	18880	
6120	Goods	[Incantation] Burn, O Flame!	6211	
6210	Goods	[Incantation] Black Flame	6203	
6220	Goods	[Incantation] Surge, O Flame!	6208	
6230	Goods	[Incantation] Scouring Black Flame	6210	
6240	Goods	[Incantation] Black Flame Ritual	6214	
6250	Goods	[Incantation] Black Flame Blade	6306	
6260	Goods	[Incantation] Black Flame's Protection	6310	
6270	Goods	[Incantation] Noble Presence	6055	
6300	Goods	[Incantation] Bloodflame Talons	6056	
6310	Goods	[Incantation] Bloodboon	6254	
6320	Goods	[Incantation] Bloodflame Blade	6307	
6330	Goods	[Incantation] Barrier of Gold	6311	
6340	Goods	[Incantation] Protection of the Erdtree	6255	
6400	Goods	[Incantation] Rejection	6250	
6410	Goods	[Incantation] Wrath of Gold	6251	
6420	Goods	[Incantation] Urgent Heal	6300	
6421	Goods	[Incantation] Heal	6301	
6422	Goods	[Incantation] Great Heal	6505	
6423	Goods	[Incantation] Lord's Heal	6506	
6424	Goods	[Incantation] Erdtree Heal	6302	
6430	Goods	[Incantation] Blessing's Boon	6304	
6431	Goods	[Incantation] Blessing of the Erdtree	6305	
6440	Goods	[Incantation] Cure Poison	6057	
6441	Goods	[Incantation] Lord's Aid	6058	
6450	Goods	[Incantation] Flame Fortification	6707	
6460	Goods	[Incantation] Magic Fortification	6708	
6470	Goods	[Incantation] Lightning Fortification	6709	
6480	Goods	[Incantation] Divine Fortification	6710	
6490	Goods	[Incantation] Lord's Divine Fortification	6711	
6500	Goods	[Incantation] Night Maiden's Mist	6253	
6510	Goods	[Incantation] Assassin's Approach	6312	
6520	Goods	[Incantation] Shadow Bait	6313	
6530	Goods	[Incantation] Darkness	6059	
6600	Goods	[Incantation] Golden Vow	6504	
6700	Goods	[Incantation] Discus of Light	6252	
6701	Goods	[Incantation] Triple Rings of Light	6061	
6710	Goods	[Incantation] Radagon's Rings of Light	6062	
6720	Goods	[Incantation] Elden Stars	6063	
6730	Goods	[Incantation] Law of Regression	6064	
6740	Goods	[Incantation] Immutable Shield	6065	
6750	Goods	[Incantation] Litany of Proper Death	6256	
6760	Goods	[Incantation] Law of Causality	6066	
6770	Goods	[Incantation] Order's Blade	6067	
6780	Goods	[Incantation] Order Healing	6068	
6800	Goods	[Incantation] Bestial Sling	6400	
6810	Goods	[Incantation] Stone of Gurranq	6401	
6820	Goods	[Incantation] Beast Claw	6402	
6830	Goods	[Incantation] Gurranq's Beast Claw	6403	
6840	Goods	[Incantation] Bestial Vitality	6500	
6850	Goods	[Incantation] Bestial Constitution	6503	
6900	Goods	[Incantation] Lightning Spear	6406	
6910	Goods	[Incantation] Ancient Dragons' Lightning Strike	6069	
6920	Goods	[Incantation] Lightning Strike	6408	
6921	Goods	[Incantation] Frozen Lightning Spear	6072	
6930	Goods	[Incantation] Honed Bolt	6073	
6940	Goods	[Incantation] Ancient Dragons' Lightning Spear	6074	
6941	Goods	[Incantation] Fortissax's Lightning Spear	6075	
6950	Goods	[Incantation] Lansseax's Glaive	6076	
6960	Goods	[Incantation] Electrify Armament	6077	
6970	Goods	[Incantation] Vyke's Dragonbolt	6078	
6971	Goods	[Incantation] Dragonbolt Blessing	6079	
7000	Accessories	Crimson Amber Medallion +3	18900	
7001	Goods	[Incantation] Agheel's Flame	6081	
7010	Accessories	Cerulean Amber Medallion +3	18901	
7011	Goods	[Incantation] Theodorix's Magma	6105	
7020	Accessories	Viridian Amber Medallion +3	18902	
7021	Goods	[Incantation] Borealis's Mist	6084	
7030	Accessories	Two-Headed Turtle Talisman	18903	
7031	Goods	[Incantation] Ekzykes's Decay	6086	
7040	Accessories	Stalwart Horn Charm +2	18904	
7041	Goods	[Incantation] Smarag's Glintstone Breath	6088	
7050	Accessories	Immunizing Horn Charm +2	18905	
7060	Accessories	Clarifying Horn Charm +2	18906	
7080	Accessories	Mottled Necklace +2	18908	
7090	Accessories	Spelldrake Talisman +3	18909	
7100	Accessories	Flamedrake Talisman +3	18910	
7110	Accessories	Boltdrake Talisman +3	18911	
7120	Accessories	Golden Braid	18912	
7130	Accessories	Pearldrake Talisman +3	18913	
7140	Accessories	Crimson Seed Talisman +1	18914	
7150	Accessories	Cerulean Seed Talisman +1	18915	
7200	Goods	[Incantation] Pest Threads	6609	
7210	Goods	[Incantation] Swarm of Flies	6611	
7220	Goods	[Incantation] Poison Mist	6610	
7230	Goods	[Incantation] Poison Armament	6612	
7240	Goods	[Incantation] Scarlet Aeonia	6713	
7300	Goods	[Incantation] Inescapable Frenzy	6094	
7310	Goods	[Incantation] The Flame of Frenzy	6095	
7311	Goods	[Incantation] Unendurable Frenzy	6096	
7320	Goods	[Incantation] Frenzied Burst	6097	
7330	Goods	[Incantation] Howl of Shabriri	6098	
7500	Goods	[Incantation] Aspects of the Crucible: Tail	6613	
7510	Goods	[Incantation] Aspects of the Crucible: Horns	6614	
7520	Goods	[Incantation] Aspects of the Crucible: Breath	6615	
7530	Goods	[Incantation] Black Blade	6712	
7900	Goods	[Incantation] Fire's Deadly Sin	6060	
7903	Goods	[Incantation] Golden Lightning Fortification	6706	
8000	Accessories	Blessed Blue Dew Talisman	18916	
8010	Accessories	Fine Crucible Feather Talisman	18917	
8020	Accessories	Outer God Heirloom	18918	
8030	Accessories	Shattered Stone Talisman	18924	
8040	Accessories	Two-Handed Sword Talisman	18919	
8050	Accessories	Crusade Insignia	18920	
8060	Accessories	Aged One's Exultation	18921	
8070	Accessories	Arrow's Soaring Sting Talisman	18922	
8090	Accessories	Pearl Shield Talisman	18925	
8100	Accessories	Dried Bouquet	18923	
8102	Goods	Lucent Baldachin's Blessing	0	
8105	Goods	Dectus Medallion (Left)	3000	
8106	Goods	Dectus Medallion (Right)	3001	
8107	Goods	Rold Medallion	3002	
8109	Goods	Academy Glintstone Key	3006	
8110	Accessories	Smithing Talisman	18934	
8111	Goods	Carian Inverted Statue	3060	
8120	Accessories	Ailment Talisman	18926	
8121	Goods	Dark Moon Ring	3050	
8126	Goods	Fingerprint Grape	3054	
8127	Goods	Letter from Volcano Manor	3055	
8128	Goods	Tonic of Forgetfulness	3056	
8129	Goods	Serpent's Amnion	3057	
8130	Accessories	Retaliatory Crossed-Tree	18937	
8131	Goods	Irina's Letter	3059	
8132	Goods	Letter from Volcano Manor	3055	
8133	Goods	Red Letter	3061	
8134	Goods	Drawing-Room Key	3062	
8136	Goods	Rya's Necklace	3064	
8137	Goods	Volcano Manor Invitation	3055	
8140	Accessories	Lacerating Crossed-Tree	18938	
8142	Goods	Amber Starlight	3283	
8143	Goods	Seluvis's Introduction	3071	
8144	Goods	Sellen's Primal Glintstone	3072	
8146	Goods	Miniature Ranni	3074	
8147	Goods	Asimi, Silver Tear	0	
8148	Goods	Godrick's Great Rune	3078	
8149	Goods	Radahn's Great Rune	3079	
8150	Accessories	Sharpshot Talisman	18927	
8151	Goods	Rykard's Great Rune	3081	
8152	Goods	Mohg's Great Rune	3082	
8153	Goods	Malenia's Great Rune	3083	
8154	Goods	Lord of Blood's Favor	3087	
8155	Goods	Lord of Blood's Favor	3088	
8156	Goods	Burial Crow's Letter	0	
8158	Goods	Spirit Calling Bell	3092	
8159	Goods	Fingerslayer Blade	3093	
8160	Accessories	St. Trina's Smile	18928	
8161	Goods	Sewing Needle	3095	
8162	Goods	Gold Sewing Needle	3096	
8163	Goods	Tailoring Tools	3097	
8164	Goods	Seluvis's Potion	3098	
8166	Goods	Amber Draught	3100	
8167	Goods	Letter to Patches	3101	
8168	Goods	Dancer's Castanets	3102	
8169	Goods	Sellian Sealbreaker	3103	
8170	Accessories	Talisman of the Dread	18929	
8171	Goods	Chrysalids' Memento	3105	
8172	Goods	Black Knifeprint	3106	
8173	Goods	Letter to Bernahl	3101	
8174	Goods	Academy Glintstone Key	3006	
8175	Goods	Haligtree Secret Medallion (Left)	3270	
8176	Goods	Haligtree Secret Medallion (Right)	3271	
8180	Accessories	Enraged Divine Beast	18930	
8181	Goods	Burial Crow's Letter	0	
8182	Goods	Mending Rune of Perfect Order	3116	
8183	Goods	Mending Rune of the Death-Prince	3117	
8184	Goods	Mending Rune of the Fell Curse	3118	
8185	Goods	Larval Tear	3075	
8186	Goods	Imbued Sword Key	3198	
8187	Goods	Miniature Ranni	3224	
8188	Goods	Golden Tailoring Tools	3225	
8189	Goods	Iji's Confession	3226	
8190	Accessories	Beloved Stardust	18931	
8191	Goods	Cursemark of Death	3228	
8192	Goods	Asimi's Husk	0	
8193	Goods	Seedbed Curse	3272	
8194	Goods	The Stormhawk King	3273	
8195	Goods	Asimi, Silver Chrysalid	0	
8196	Goods	Unalloyed Gold Needle	3275	
8197	Goods	Sewer-Gaol Key	3227	
8198	Goods	Meeting Place Map	3277	
8199	Goods	Discarded Palace Key	3279	
8200	Accessories	Talisman of Lord's Bestowal	18932	
8201	Goods	"Resurrection" Painting	3207	
8202	Goods	"Champion's Song" Painting	3208	
8203	Goods	"Sorcerer" Painting	3209	
8204	Goods	"Prophecy" Painting	3210	
8205	Goods	"Flightless Bird" Painting	3211	
8206	Goods	"Redmane" Painting	3212	
8210	Accessories	Verdigris Discus	18933	
8220	Accessories	Rellana's Cameo	18935	
8221	Goods	Zorayas's Letter	3281	
8222	Goods	Alexander's Innards	3284	
8223	Goods	Rogier's Letter	3281	
8224	Goods	Note: The Preceptor's Secrets	292	
8225	Goods	Weathered Map	3286	
8226	Goods	Note: The Preceptor's Secret	0	
8227	Goods	Weathered Map	3287	
8230	Accessories	Blade of Mercy	18936	
8240	Accessories	Talisman of All Crucibles	18939	
8500	Goods	Crafting Kit	259	
8590	Goods	Whetstone Knife	3090	
8600	Goods	Map: Limgrave, West	261	
